Taxa,unclassified,total,unclassified_percent,database,method,dataset,method_dataset,name
HsapMB27,50575000,103004988,49.09956399,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00930520.PB.E1.P1_RevioSPRQ_s1.SW.C04
HsapMB123,41564000,60974999,68.16564277,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00930520.PB.E1.P1_RevioSPRQ_s2.SW.C04
HsapMB123,31603000,60974995,51.82944254,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00930520.PB.E1.P1_RevioSPRQ_s2.SW.C04
HsapMB58,149917000,300318994,49.91925353,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00935300.PB.E1.P1_RevioSPRQ_s1.SW.B08
HsapMB58,88785000,300318991,29.56356496,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00935300.PB.E1.P1_RevioSPRQ_s1.SW.B08
HsapMB154,86882999,171348994,50.7052869,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,504.FB00935300.PB.E1.P1_RevioSPRQ_s2.SW.B08
HsapMB154,53470999,171348996,31.20590155,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,504.FB00935300.PB.E1.P1_RevioSPRQ_s2.SW.B08
HsapMB53,194592999,382657984,50.85298286,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00267791.PB.E1.P1_RevioSPRQ_s1.SW.E07
HsapMB53,127730000,382657983,33.37967733,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00267791.PB.E1.P1_RevioSPRQ_s1.SW.E07
HsapMB149,117544999,224922991,52.26010844,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00267791.PB.E1.P1_RevioSPRQ_s2.SW.E07
HsapMB149,77481000,224922989,34.44779048,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00267791.PB.E1.P1_RevioSPRQ_s2.SW.E07
HsapMB385,128749000,235602991,54.64658978,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00862361.PB.G1.P3_RevioSPRQ_s4.SW.A01
HsapMB385,83759000,235602992,35.55090676,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00862361.PB.G1.P3_RevioSPRQ_s4.SW.A01
HsapMB475,110997000,198155994,56.01495961,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00862361.PB.G1.P3_Vega.SW.A01
HsapMB475,74194999,198155991,37.44272309,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00862361.PB.G1.P3_Vega.SW.A01
HsapMB206,63234999,137476999,45.99678452,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00862556.PB.F1.P2_RevioSPRQ_s3.SW.F02
HsapMB206,32010000,137476998,23.2838951,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00862556.PB.F1.P2_RevioSPRQ_s3.SW.F02
HsapMB302,42735999,91372991,46.77093147,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00862556.PB.F4.P2_RevioSPRQ_s3.SW.F02
HsapMB302,22032000,91372998,24.1121562,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00862556.PB.F4.P2_RevioSPRQ_s3.SW.F02
HsapMB232,43836000,73281998,59.81823803,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00933916.PB.F1.P2_RevioSPRQ_s3.SW.H05
HsapMB232,29849999,73281996,40.73305945,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00933916.PB.F1.P2_RevioSPRQ_s3.SW.H05
HsapMB328,19893999,31208998,63.74443358,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00933916.PB.F4.P2_RevioSPRQ_s3.SW.H05
HsapMB328,14742000,31208998,47.23637715,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00933916.PB.F4.P2_RevioSPRQ_s3.SW.H05
HsapMB419,183176999,307814992,59.50879709,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00941907.PB.G1.P3_RevioSPRQ_s4.SW.C05
HsapMB419,107860999,307814991,35.04085316,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00941907.PB.G1.P3_RevioSPRQ_s4.SW.C05
HsapMB509,156071999,261946996,59.58151893,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,510.FB00941907.PB.G1.P3_Vega.SW.C05
HsapMB509,92590000,261946993,35.34684592,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,510.FB00941907.PB.G1.P3_Vega.SW.C05
HsapMB404,185230999,332389990,55.72700881,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,529.FB00267678.PB.G1.P3_RevioSPRQ_s4.SW.D03
HsapMB404,121505000,332389991,36.5549515,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,529.FB00267678.PB.G1.P3_RevioSPRQ_s4.SW.D03
HsapMB494,159491999,282579993,56.44136278,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,529.FB00267678.PB.G1.P3_Vega.SW.D03
HsapMB494,106243999,282579992,37.59784911,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,529.FB00267678.PB.G1.P3_Vega.SW.D03
HsapMB34,154777000,274169999,56.45293087,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,529.FB00851218.PB.E1.P1_RevioSPRQ_s1.SW.B05
HsapMB34,99286999,274169995,36.21366335,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,529.FB00851218.PB.E1.P1_RevioSPRQ_s1.SW.B05
HsapMB130,90880000,158274989,57.41905311,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,529.FB00851218.PB.E1.P1_RevioSPRQ_s2.SW.B05
